Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,#NAME?,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53
20,name,name1276,Web,complete,insertValue,2019-03-07T09:01:55.770+11:00,surname,surname1276,Web,complete,insertValue,2019-03-07T09:02:02.630+11:00,age,38,Web,complete,insertValue,2019-03-07T09:02:07.070+11:00,2,type,Web,complete,insertValue,2019-03-07T09:02:17.638+11:00,B1,Web,complete,clickButton,2019-03-07T09:02:19.689+11:00,insertValue,B,2597,Excel,3,complete,2019-03-07T09:02:22.852+11:00,Web,complete,goToUrl,2019-03-07T09:02:33.539+11:00,www.webpage2.com,value2,value2597,Web,complete,copy,2019-03-07T09:02:42.112+11:00,paste,C,vaue2597,Excel,2
21,name,name684,Web,complete,insertValue,2019-03-07T09:03:03.299+11:00,surname,surname684,Web,complete,insertValue,2019-03-07T09:03:10.063+11:00,age,35,Web,complete,insertValue,2019-03-07T09:03:18.390+11:00,2,type,Web,complete,insertValue,2019-03-07T09:03:28.298+11:00,B1,Web,complete,clickButton,2019-03-07T09:03:28.298+11:00,insertValue,B,2179,Excel,19,complete,2019-03-07T09:03:32.026+11:00,Web,complete,goToUrl,2019-03-07T09:03:38.883+11:00,www.webpage2.com,value2,value2179,Web,complete,copy,2019-03-07T09:03:38.883+11:00,paste,C,vaue2179,Excel,2
22,name,name117,Web,complete,insertValue,2019-03-07T09:03:54.169+11:00,surname,surname117,Web,complete,insertValue,2019-03-07T09:03:54.169+11:00,age,47,Web,complete,insertValue,2019-03-07T09:04:00.687+11:00,3,type,Web,complete,insertValue,2019-03-07T09:04:24.429+11:00,B4,Web,complete,clickButton,2019-03-07T09:04:40.382+11:00,Excel,complete,openFile,Sheet1,2019-03-07T09:04:44.142+11:00,data123.xls,1935,Excel,complete,findValue,FALSE,2019-03-07T09:04:46.969+11:00,copy,B,value117,Excel,1,complete,2019-03-07T09:04:48.188+11:00,finalCode,vaue117,Web,complete
23,name,name1474,Web,complete,insertValue,2019-03-07T09:05:06.891+11:00,surname,surname1474,Web,complete,insertValue,2019-03-07T09:05:17.171+11:00,age,31,Web,complete,insertValue,2019-03-07T09:05:28.627+11:00,1,type,Web,complete,insertValue,2019-03-07T09:05:40.439+11:00,B1,Web,complete,clickButton,2019-03-07T09:05:52.616+11:00,insertValue,B,3898,Excel,20,complete,2019-03-07T09:05:54.201+11:00,Web,complete,goToUrl,2019-03-07T09:05:57.233+11:00,www.webpage2.com,value2,value3898,Web,complete,copy,2019-03-07T09:06:07.251+11:00,paste,C,vaue3898,Excel,2
24,name,name2691,Web,complete,insertValue,2019-03-07T09:06:28.508+11:00,surname,surname2691,Web,complete,insertValue,2019-03-07T09:06:35.415+11:00,age,29,Web,complete,insertValue,2019-03-07T09:06:48.066+11:00,3,type,Web,complete,insertValue,2019-03-07T09:06:48.066+11:00,B4,Web,complete,clickButton,2019-03-07T09:06:51.384+11:00,Excel,complete,openFile,Sheet1,2019-03-07T09:06:54.074+11:00,data123.xls,3693,Excel,complete,findValue,TRUE,2019-03-07T09:06:55.420+11:00,copy,B,value2691,Excel,1,complete,2019-03-07T09:06:58.295+11:00,paste,C,vaue2691,Excel
25,name,name1760,Web,complete,insertValue,2019-03-07T09:07:16.557+11:00,surname,surname1760,Web,complete,insertValue,2019-03-07T09:07:16.557+11:00,age,28,Web,complete,insertValue,2019-03-07T09:07:25.822+11:00,1,type,Web,complete,insertValue,2019-03-07T09:07:33.331+11:00,B1,Web,complete,clickButton,2019-03-07T09:07:39.521+11:00,insertValue,B,2358,Excel,27,complete,2019-03-07T09:07:43.334+11:00,Web,complete,goToUrl,2019-03-07T09:07:58.462+11:00,www.webpage2.com,value2,value2358,Web,complete,copy,2019-03-07T09:08:10.209+11:00,paste,C,vaue2358,Excel,2
26,name,name1020,Web,complete,insertValue,2019-03-07T09:08:26.413+11:00,surname,surname1020,Web,complete,insertValue,2019-03-07T09:08:35.179+11:00,age,22,Web,complete,insertValue,2019-03-07T09:08:45.605+11:00,4,type,Web,complete,insertValue,2019-03-07T09:08:54.036+11:00,B4,Web,complete,clickButton,2019-03-07T09:09:03.800+11:00,Web,complete,goToUrl,2019-03-07T09:09:07.369+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T09:09:11.842+11:00,valueX,valuex1020,Web,complete,insertValue,2019-03-07T09:09:24.196+11:00,OK,Web,complete,clickButton,2019-03-07T09:09:27.036+11:00,,
27,name,name325,Web,complete,insertValue,2019-03-07T09:09:37.036+11:00,surname,surname325,Web,complete,insertValue,2019-03-07T09:09:47.082+11:00,age,23,Web,complete,insertValue,2019-03-07T09:09:53.778+11:00,3,type,Web,complete,insertValue,2019-03-07T09:09:58.920+11:00,B4,Web,complete,clickButton,2019-03-07T09:10:09.318+11:00,Excel,complete,openFile,Sheet1,2019-03-07T09:10:13.306+11:00,data123.xls,4425,Excel,complete,findValue,FALSE,2019-03-07T09:10:19.260+11:00,copy,B,value325,Excel,1,complete,2019-03-07T09:10:24.065+11:00,finalCode,vaue325,Web,complete
28,name,name812,Web,complete,insertValue,2019-03-07T09:10:37.461+11:00,surname,surname812,Web,complete,insertValue,2019-03-07T09:10:38.101+11:00,age,44,Web,complete,insertValue,2019-03-07T09:10:47.002+11:00,3,type,Web,complete,insertValue,2019-03-07T09:10:55.820+11:00,B4,Web,complete,clickButton,2019-03-07T09:11:10.555+11:00,Web,complete,goToUrl,2019-03-07T09:11:13.577+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T09:11:15.721+11:00,valueX,valuex812,Web,complete,insertValue,2019-03-07T09:11:15.721+11:00,OK,Web,complete,clickButton,2019-03-07T09:11:18.636+11:00,,
29,name,name1455,Web,complete,insertValue,2019-03-07T09:11:28.636+11:00,surname,surname1455,Web,complete,insertValue,2019-03-07T09:11:40.407+11:00,age,18,Web,complete,insertValue,2019-03-07T09:11:46.178+11:00,4,type,Web,complete,insertValue,2019-03-07T09:12:05.432+11:00,B4,Web,complete,clickButton,2019-03-07T09:12:16.999+11:00,Excel,complete,openFile,Sheet1,2019-03-07T09:12:19.858+11:00,data123.xls,1421,Excel,complete,findValue,TRUE,2019-03-07T09:12:23.039+11:00,copy,B,value1455,Excel,1,complete,2019-03-07T09:12:26.605+11:00,finalCode,vaue1455,Web,complete
30,name,name2879,Web,complete,insertValue,2019-03-07T09:12:41.415+11:00,surname,surname2879,Web,complete,insertValue,2019-03-07T09:12:43.697+11:00,age,23,Web,complete,insertValue,2019-03-07T09:12:57.439+11:00,1,type,Web,complete,insertValue,2019-03-07T09:13:02.136+11:00,B1,Web,complete,clickButton,2019-03-07T09:13:09.859+11:00,insertValue,B,4430,Excel,33,complete,2019-03-07T09:13:13.363+11:00,Web,complete,goToUrl,2019-03-07T09:13:14.447+11:00,www.webpage2.com,value2,value4430,Web,complete,copy,2019-03-07T09:13:23.640+11:00,finalCode,vaue4430,Web,complete,paste
31,name,name1193,Web,complete,insertValue,2019-03-07T09:13:39.153+11:00,surname,surname1193,Web,complete,insertValue,2019-03-07T09:13:39.818+11:00,age,30,Web,complete,insertValue,2019-03-07T09:13:50.179+11:00,4,type,Web,complete,insertValue,2019-03-07T09:13:58.504+11:00,B4,Web,complete,clickButton,2019-03-07T09:14:14.986+11:00,Web,complete,goToUrl,2019-03-07T09:14:16.956+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T09:14:20.681+11:00,valueX,valuex1193,Web,complete,insertValue,2019-03-07T09:14:39.341+11:00,Cancel,Web,complete,clickButton,2019-03-07T09:14:42.089+11:00,,
32,name,name2551,Web,complete,insertValue,2019-03-07T09:14:52.089+11:00,surname,surname2551,Web,complete,insertValue,2019-03-07T09:15:01.506+11:00,age,26,Web,complete,insertValue,2019-03-07T09:15:10.321+11:00,4,type,Web,complete,insertValue,2019-03-07T09:15:15.997+11:00,B4,Web,complete,clickButton,2019-03-07T09:15:22.963+11:00,Web,complete,goToUrl,2019-03-07T09:15:26.359+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T09:15:29.208+11:00,valueX,valuex2551,Web,complete,insertValue,2019-03-07T09:15:37.518+11:00,Cancel,Web,complete,clickButton,2019-03-07T09:15:39.309+11:00,,
33,name,name2258,Web,complete,insertValue,2019-03-07T09:15:49.309+11:00,surname,surname2258,Web,complete,insertValue,2019-03-07T09:15:58.398+11:00,age,23,Web,complete,insertValue,2019-03-07T09:16:21.112+11:00,4,type,Web,complete,insertValue,2019-03-07T09:16:35.111+11:00,B4,Web,complete,clickButton,2019-03-07T09:16:45.181+11:00,Web,complete,goToUrl,2019-03-07T09:16:49.161+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T09:16:52.253+11:00,valueX,valuex2258,Web,complete,insertValue,2019-03-07T09:17:04.506+11:00,Cancel,Web,complete,clickButton,2019-03-07T09:17:07.702+11:00,,
34,name,name552,Web,complete,insertValue,2019-03-07T09:17:17.702+11:00,surname,surname552,Web,complete,insertValue,2019-03-07T09:17:31.326+11:00,age,37,Web,complete,insertValue,2019-03-07T09:17:34.963+11:00,4,type,Web,complete,insertValue,2019-03-07T09:17:45.701+11:00,B4,Web,complete,clickButton,2019-03-07T09:17:57.914+11:00,Web,complete,goToUrl,2019-03-07T09:17:59.881+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T09:18:04.154+11:00,valueX,valuex552,Web,complete,insertValue,2019-03-07T09:18:10.918+11:00,Cancel,Web,complete,clickButton,2019-03-07T09:18:13.498+11:00,,
35,name,name2228,Web,complete,insertValue,2019-03-07T09:18:23.498+11:00,surname,surname2228,Web,complete,insertValue,2019-03-07T09:18:36.354+11:00,age,31,Web,complete,insertValue,2019-03-07T09:18:44.909+11:00,3,type,Web,complete,insertValue,2019-03-07T09:18:44.909+11:00,B4,Web,complete,clickButton,2019-03-07T09:18:48.989+11:00,Web,complete,goToUrl,2019-03-07T09:18:53.093+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T09:18:55.151+11:00,valueX,valuex2228,Web,complete,insertValue,2019-03-07T09:19:04.972+11:00,OK,Web,complete,clickButton,2019-03-07T09:19:09.261+11:00,,
36,name,name2966,Web,complete,insertValue,2019-03-07T09:19:19.261+11:00,surname,surname2966,Web,complete,insertValue,2019-03-07T09:19:26.753+11:00,age,29,Web,complete,insertValue,2019-03-07T09:19:33.982+11:00,3,type,Web,complete,insertValue,2019-03-07T09:19:42.586+11:00,B4,Web,complete,clickButton,2019-03-07T09:19:55.063+11:00,Excel,complete,openFile,Sheet1,2019-03-07T09:19:58.485+11:00,data123.xls,4751,Excel,complete,findValue,FALSE,2019-03-07T09:20:00.528+11:00,copy,B,value2966,Excel,1,complete,2019-03-07T09:20:02.803+11:00,paste,C,vaue2966,Excel
37,name,name1375,Web,complete,insertValue,2019-03-07T09:20:17.584+11:00,surname,surname1375,Web,complete,insertValue,2019-03-07T09:20:28.072+11:00,age,20,Web,complete,insertValue,2019-03-07T09:20:40.051+11:00,1,type,Web,complete,insertValue,2019-03-07T09:20:46.105+11:00,B1,Web,complete,clickButton,2019-03-07T09:20:58.976+11:00,insertValue,B,1638,Excel,1,complete,2019-03-07T09:21:02.475+11:00,Web,complete,goToUrl,2019-03-07T09:21:06.788+11:00,www.webpage2.com,value2,value1638,Web,complete,copy,2019-03-07T09:21:19.163+11:00,paste,C,vaue1638,Excel,2
38,name,name2360,Web,complete,insertValue,2019-03-07T09:21:36.779+11:00,surname,surname2360,Web,complete,insertValue,2019-03-07T09:21:38.414+11:00,age,24,Web,complete,insertValue,2019-03-07T09:21:41.242+11:00,3,type,Web,complete,insertValue,2019-03-07T09:21:55.020+11:00,B4,Web,complete,clickButton,2019-03-07T09:22:14.895+11:00,Excel,complete,openFile,Sheet1,2019-03-07T09:22:15.536+11:00,data123.xls,2865,Excel,complete,findValue,TRUE,2019-03-07T09:22:18.059+11:00,copy,B,value2360,Excel,1,complete,2019-03-07T09:22:21.758+11:00,finalCode,vaue2360,Web,complete
39,name,name303,Web,complete,insertValue,2019-03-07T09:22:36.985+11:00,surname,surname303,Web,complete,insertValue,2019-03-07T09:22:46.398+11:00,age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Web,complete,insertValue,2019-03-07T09:22:56.270+11:00,1,type,Web,complete,insertValue,2019-03-07T09:23:07.532+11:00,B1,Web,complete,clickButton,2019-03-07T09:23:17.223+11:00,insertValue,B,3378,Excel,10,complete,2019-03-07T09:23:19.889+11:00,Web,complete,goToUrl,2019-03-07T09:23:28.809+11:00,www.webpage2.com,value2,value3378,Web,complete,copy,2019-03-07T09:23:37.751+11:00,paste,C,vaue3378,Excel,2,complete,2019-03-07T09:23:40.988+11:00,finalCode,vaue3378,Web,complete,paste,2019-03-07T09:23:42.839+11:00,OK,Web,complete,clickButton,2019-03-07T09:23:44.767+11:00,40
41,name,name2814,Web,complete,insertValue,2019-03-07T09:25:15.286+11:00,surname,surname2814,Web,complete,insertValue,2019-03-07T09:25:21.819+11:00,age,40,Web,complete,insertValue,2019-03-07T09:25:30.954+11:00,4,type,Web,complete,insertValue,2019-03-07T09:25:35.873+11:00,B4,Web,complete,clickButton,2019-03-07T09:25:42.478+11:00,Web,complete,goToUrl,2019-03-07T09:25:46.627+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T09:25:48.394+11:00,valueX,valuex2814,Web,complete,insertValue,2019-03-07T09:25:52.398+11:00,OK,Web,complete,clickButton,2019-03-07T09:25:54.447+11:00,,
42,name,name1613,Web,complete,insertValue,2019-03-07T09:26:04.447+11:00,surname,surname1613,Web,complete,insertValue,2019-03-07T09:26:18.357+11:00,age,21,Web,complete,insertValue,2019-03-07T09:26:26.144+11:00,1,type,Web,complete,insertValue,2019-03-07T09:26:37.363+11:00,B1,Web,complete,clickButton,2019-03-07T09:26:40.342+11:00,insertValue,B,3264,Excel,37,complete,2019-03-07T09:26:44.254+11:00,Web,complete,goToUrl,2019-03-07T09:26:44.254+11:00,www.webpage2.com,value2,value3264,Web,complete,copy,2019-03-07T09:26:49.829+11:00,paste,C,vaue3264,Excel,2
43,name,name2677,Web,complete,insertValue,2019-03-07T09:27:10.038+11:00,surname,surname2677,Web,complete,insertValue,2019-03-07T09:27:22.699+11:00,age,23,Web,complete,insertValue,2019-03-07T09:27:40.371+11:00,4,type,Web,complete,insertValue,2019-03-07T09:27:46.284+11:00,B4,Web,complete,clickButton,2019-03-07T09:27:50.699+11:00,Web,complete,goToUrl,2019-03-07T09:27:53.603+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T09:27:55.954+11:00,valueX,valuex2677,Web,complete,insertValue,2019-03-07T09:28:07.644+11:00,Cancel,Web,complete,clickButton,2019-03-07T09:28:10.249+11:00,,
