Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53,Parameter54,Parameter55,Parameter56,Parameter57,Parameter58,Parameter59,Parameter60,Parameter61,Parameter62,Parameter63,Parameter64,Parameter65
15,Clients,Web,complete,clickButton,2019-03-05T12:02:37.911+11:00,clientID,ID1110,Web,complete,insertValue,2019-03-05T12:02:41.781+11:00,Web,complete,pressKey,2019-03-05T12:02:44.317+11:00,enter,update,ID1110,Web,complete,clickButton,2019-03-05T12:02:47.153+11:00,address,addA1765addB700,Web,complete,insertValue,2019-03-05T12:02:48.796+11:00,Country178,country,Web,complete,insertValue,2019-03-05T12:02:56.815+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T12:03:02.933+11:00,OK,Web,complete,clickButton,2019-03-05T12:03:06.032+11:00,Confirm,Web,complete,clickButton,2019-03-05T12:03:08.710+11:00,,,,,,,,,,,,,,,
16,Clients,Web,complete,clickButton,2019-03-05T12:03:21.785+11:00,clientID,ID1401,Web,complete,insertValue,2019-03-05T12:03:24.723+11:00,Web,complete,pressKey,2019-03-05T12:03:35.643+11:00,enter,update,ID1401,Web,complete,clickButton,2019-03-05T12:03:36.436+11:00,address,addA1640addB297,Web,complete,insertValue,2019-03-05T12:03:38.506+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:04:00.288+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:04:02.004+11:00,ID1401,address,addB297,Web,complete,copy,2019-03-05T12:04:06.156+11:00,paste,A,addB297,Excel,5,complete,2019-03-05T12:04:18.053+11:00,save,Excel,complete,saveFile,2019-03-05T12:04:20.121+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:04:23.951+11:00
17,Clients,Web,complete,clickButton,2019-03-05T12:04:34.847+11:00,clientID,ID1114,Web,complete,insertValue,2019-03-05T12:04:36.491+11:00,Web,complete,pressKey,2019-03-05T12:04:53.022+11:00,enter,update,ID1114,Web,complete,clickButton,2019-03-05T12:04:56.289+11:00,address,addA604addB1600,Web,complete,insertValue,2019-03-05T12:04:58.498+11:00,Country110,country,Web,complete,insertValue,2019-03-05T12:05:10.164+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T12:05:16.618+11:00,OK,Web,complete,clickButton,2019-03-05T12:05:19.124+11:00,Confirm,Web,complete,clickButton,2019-03-05T12:05:22.349+11:00,,,,,,,,,,,,,,,
18,Clients,Web,complete,clickButton,2019-03-05T12:05:34.781+11:00,clientID,ID1175,Web,complete,insertValue,2019-03-05T12:05:38.969+11:00,Web,complete,pressKey,2019-03-05T12:05:52.458+11:00,enter,update,ID1175,Web,complete,clickButton,2019-03-05T12:05:55.268+11:00,address,addA797addB241,Web,complete,insertValue,2019-03-05T12:05:57.658+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:06:06.604+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:06:12.062+11:00,ID1175,address,addB241,Web,complete,copy,2019-03-05T12:06:19.465+11:00,paste,A,addB241,Excel,5,complete,2019-03-05T12:06:20.104+11:00,save,Excel,complete,saveFile,2019-03-05T12:06:23.999+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:06:28.167+11:00
19,Clients,Web,complete,clickButton,2019-03-05T12:06:39.260+11:00,clientID,ID1157,Web,complete,insertValue,2019-03-05T12:06:39.767+11:00,Web,complete,pressKey,2019-03-05T12:07:02.096+11:00,enter,update,ID1157,Web,complete,clickButton,2019-03-05T12:07:03.309+11:00,address,addA579addB830,Web,complete,insertValue,2019-03-05T12:07:06.982+11:00,Country139,country,Web,complete,insertValue,2019-03-05T12:07:11.878+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T12:07:16.789+11:00,OK,Web,complete,clickButton,2019-03-05T12:07:18.904+11:00,Confirm,Web,complete,clickButton,2019-03-05T12:07:25.875+11:00,,,,,,,,,,,,,,,
20,Clients,Web,complete,clickButton,2019-03-05T12:07:39.180+11:00,clientID,ID1345,Web,complete,insertValue,2019-03-05T12:07:41.998+11:00,Web,complete,pressKey,2019-03-05T12:07:51.520+11:00,enter,update,ID1345,Web,complete,clickButton,2019-03-05T12:07:54.646+11:00,address,addA74addB1942,Web,complete,insertValue,2019-03-05T12:07:59.381+11:00,Country79,country,Web,complete,insertValue,2019-03-05T12:08:03.124+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T12:08:12.425+11:00,OK,Web,complete,clickButton,2019-03-05T12:08:14.157+11:00,Confirm,Web,complete,clickButton,2019-03-05T12:08:16.072+11:00,,,,,,,,,,,,,,,
21,Clients,Web,complete,clickButton,2019-03-05T12:08:30.001+11:00,clientID,ID1764,Web,complete,insertValue,2019-03-05T12:08:31.780+11:00,Web,complete,pressKey,2019-03-05T12:08:38.734+11:00,enter,update,ID1764,Web,complete,clickButton,2019-03-05T12:08:41.786+11:00,address,addA1695addB1221,Web,complete,insertValue,2019-03-05T12:08:46.499+11:00,Country13,country,Web,complete,insertValue,2019-03-05T12:08:53.843+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T12:09:04.555+11:00,OK,Web,complete,clickButton,2019-03-05T12:09:08.233+11:00,Confirm,Web,complete,clickButton,2019-03-05T12:09:11.546+11:00,,,,,,,,,,,,,,,
22,Clients,Web,complete,clickButton,2019-03-05T12:09:22.707+11:00,clientID,ID1951,Web,complete,insertValue,2019-03-05T12:09:24.828+11:00,Web,complete,pressKey,2019-03-05T12:09:30.021+11:00,enter,update,ID1951,Web,complete,clickButton,2019-03-05T12:09:30.717+11:00,address,addA1368addB944,Web,complete,insertValue,2019-03-05T12:09:33.581+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:09:42.287+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:09:51.298+11:00,ID1951,address,addB944,Web,complete,copy,2019-03-05T12:09:53.548+11:00,paste,A,addB944,Excel,5,complete,2019-03-05T12:09:58.681+11:00,save,Excel,complete,saveFile,2019-03-05T12:10:00.914+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:10:03.594+11:00
23,Clients,Web,complete,clickButton,2019-03-05T12:10:16.124+11:00,clientID,ID1389,Web,complete,insertValue,2019-03-05T12:10:20.425+11:00,Web,complete,pressKey,2019-03-05T12:10:29+11:00,enter,update,ID1389,Web,complete,clickButton,2019-03-05T12:10:32.309+11:00,address,addA1008addB1964,Web,complete,insertValue,2019-03-05T12:10:34.763+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:10:36.448+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:10:38.816+11:00,ID1389,address,addB1964,Web,complete,copy,2019-03-05T12:10:50.612+11:00,paste,A,addB1964,Excel,5,complete,2019-03-05T12:10:57.853+11:00,save,Excel,complete,saveFile,2019-03-05T12:11:00.953+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:11:03.564+11:00
24,Clients,Web,complete,clickButton,2019-03-05T12:11:15.122+11:00,clientID,ID971,Web,complete,insertValue,2019-03-05T12:11:17.450+11:00,Web,complete,pressKey,2019-03-05T12:11:18.840+11:00,enter,update,ID971,Web,complete,clickButton,2019-03-05T12:11:22.571+11:00,address,addA911addB574,Web,complete,insertValue,2019-03-05T12:11:26.712+11:00,Country93,country,Web,complete,insertValue,2019-03-05T12:11:35.005+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T12:11:40.408+11:00,OK,Web,complete,clickButton,2019-03-05T12:11:41.541+11:00,Confirm,Web,complete,clickButton,2019-03-05T12:11:45.841+11:00,,,,,,,,,,,,,,,
25,Clients,Web,complete,clickButton,2019-03-05T12:11:57.779+11:00,clientID,ID1103,Web,complete,insertValue,2019-03-05T12:11:58.802+11:00,Web,complete,pressKey,2019-03-05T12:12:06.651+11:00,enter,update,ID1103,Web,complete,clickButton,2019-03-05T12:12:08.599+11:00,address,addA874addB767,Web,complete,insertValue,2019-03-05T12:12:11.053+11:00,Country5,country,Web,complete,insertValue,2019-03-05T12:12:18.591+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T12:12:30.855+11:00,OK,Web,complete,clickButton,2019-03-05T12:12:33.271+11:00,Confirm,Web,complete,clickButton,2019-03-05T12:12:36.522+11:00,,,,,,,,,,,,,,,
26,Clients,Web,complete,clickButton,2019-03-05T12:12:49.295+11:00,clientID,ID1108,Web,complete,insertValue,2019-03-05T12:12:52.192+11:00,Web,complete,pressKey,2019-03-05T12:13:04.854+11:00,enter,update,ID1108,Web,complete,clickButton,2019-03-05T12:13:06.573+11:00,address,addA766addB1433,Web,complete,insertValue,2019-03-05T12:13:08.525+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:13:14.588+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:13:28.875+11:00,ID1108,address,addB1433,Web,complete,copy,2019-03-05T12:13:42.610+11:00,paste,A,addB1433,Excel,5,complete,2019-03-05T12:13:57.966+11:00,save,Excel,complete,saveFile,2019-03-05T12:14:00.238+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:14:03.889+11:00
27,Clients,Web,complete,clickButton,2019-03-05T12:14:17.622+11:00,clientID,ID690,Web,complete,insertValue,2019-03-05T12:14:20.485+11:00,Web,complete,pressKey,2019-03-05T12:14:31.499+11:00,enter,update,ID690,Web,complete,clickButton,2019-03-05T12:14:33.713+11:00,address,addA152addB1644,Web,complete,insertValue,2019-03-05T12:14:34.391+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:14:34.391+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:14:40.691+11:00,ID690,address,addB1644,Web,complete,copy,2019-03-05T12:14:49.603+11:00,paste,A,addB1644,Excel,5,complete,2019-03-05T12:14:57.955+11:00,save,Excel,complete,saveFile,2019-03-05T12:15:01.100+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:15:04.075+11:00
28,Clients,Web,complete,clickButton,2019-03-05T12:15:16.066+11:00,clientID,ID1320,Web,complete,insertValue,2019-03-05T12:15:18.618+11:00,Web,complete,pressKey,2019-03-05T12:15:23.923+11:00,enter,update,ID1320,Web,complete,clickButton,2019-03-05T12:15:28.431+11:00,address,addA1002addB1173,Web,complete,insertValue,2019-03-05T12:15:33.876+11:00,Country38,country,Web,complete,insertValue,2019-03-05T12:15:35.314+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T12:15:47.653+11:00,OK,Web,complete,clickButton,2019-03-05T12:15:52.796+11:00,Confirm,Web,complete,clickButton,2019-03-05T12:15:56.323+11:00,,,,,,,,,,,,,,,
29,Clients,Web,complete,clickButton,2019-03-05T12:16:10.813+11:00,clientID,ID1637,Web,complete,insertValue,2019-03-05T12:16:14.848+11:00,Web,complete,pressKey,2019-03-05T12:16:15.564+11:00,enter,update,ID1637,Web,complete,clickButton,2019-03-05T12:16:18.003+11:00,address,addA951addB1455,Web,complete,insertValue,2019-03-05T12:16:19.672+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:16:28.067+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:16:38.277+11:00,ID1637,address,addB1455,Web,complete,copy,2019-03-05T12:16:49.345+11:00,paste,A,addB1455,Excel,5,complete,2019-03-05T12:17:08.302+11:00,save,Excel,complete,saveFile,2019-03-05T12:17:12.279+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:17:14.795+11:00
30,Clients,Web,complete,clickButton,2019-03-05T12:17:27.904+11:00,clientID,ID1861,Web,complete,insertValue,2019-03-05T12:17:30.170+11:00,Web,complete,pressKey,2019-03-05T12:17:35.641+11:00,enter,update,ID1861,Web,complete,clickButton,2019-03-05T12:17:37.421+11:00,address,addA745addB720,Web,complete,insertValue,2019-03-05T12:17:42.445+11:00,Country139,country,Web,complete,insertValue,2019-03-05T12:18:02.001+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T12:18:09.552+11:00,OK,Web,complete,clickButton,2019-03-05T12:18:12.921+11:00,Confirm,Web,complete,clickButton,2019-03-05T12:18:16.457+11:00,,,,,,,,,,,,,,,
31,Clients,Web,complete,clickButton,2019-03-05T12:18:29.512+11:00,clientID,ID1309,Web,complete,insertValue,2019-03-05T12:18:31.561+11:00,Web,complete,pressKey,2019-03-05T12:18:32.376+11:00,enter,update,ID1309,Web,complete,clickButton,2019-03-05T12:18:36.095+11:00,address,addA261addB1492,Web,complete,insertValue,2019-03-05T12:18:39.037+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:18:46.190+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:18:49.949+11:00,ID1309,address,addB1492,Web,complete,copy,2019-03-05T12:18:56.285+11:00,paste,A,addB1492,Excel,5,complete,2019-03-05T12:18:58.230+11:00,save,Excel,complete,saveFile,2019-03-05T12:19:01.330+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:19:04.710+11:00
32,Clients,Web,complete,clickButton,2019-03-05T12:19:17.119+11:00,clientID,ID22,Web,complete,insertValue,2019-03-05T12:19:23.067+11:00,Web,complete,pressKey,2019-03-05T12:19:31.714+11:00,enter,update,ID22,Web,complete,clickButton,2019-03-05T12:19:33.648+11:00,address,addA1320addB535,Web,complete,insertValue,2019-03-05T12:19:36.879+11:00,Country97,country,Web,complete,insertValue,2019-03-05T12:19:36.879+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T12:19:36.879+11:00,OK,Web,complete,clickButton,2019-03-05T12:19:39.759+11:00,Confirm,Web,complete,clickButton,2019-03-05T12:19:42.404+11:00,,,,,,,,,,,,,,,
33,Clients,Web,complete,clickButton,2019-03-05T12:19:55.708+11:00,clientID,ID1457,Web,complete,insertValue,2019-03-05T12:19:56.809+11:00,Web,complete,pressKey,2019-03-05T12:20:08.220+11:00,enter,update,ID1457,Web,complete,clickButton,2019-03-05T12:20:08.909+11:00,address,addA1151addB1022,Web,complete,insertValue,2019-03-05T12:20:11.154+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:20:20.209+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:20:32.966+11:00,ID1457,address,addB1022,Web,complete,copy,2019-03-05T12:20:37.587+11:00,paste,A,addB1022,Excel,5,complete,2019-03-05T12:20:38.830+11:00,save,Excel,complete,saveFile,2019-03-05T12:20:40.964+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:20:44.164+11:00
34,Clients,Web,complete,clickButton,2019-03-05T12:20:58.645+11:00,clientID,ID60,Web,complete,insertValue,2019-03-05T12:21:01.747+11:00,Web,complete,pressKey,2019-03-05T12:21:08.782+11:00,enter,update,ID60,Web,complete,clickButton,2019-03-05T12:21:11.732+11:00,address,addA65addB621,Web,complete,insertValue,2019-03-05T12:21:14.401+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:21:25.666+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:21:37.194+11:00,ID60,address,addB621,Web,complete,copy,2019-03-05T12:21:58.114+11:00,paste,A,addB621,Excel,5,complete,2019-03-05T12:22:05.208+11:00,save,Excel,complete,saveFile,2019-03-05T12:22:07.411+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:22:11.098+11:00
35,Clients,Web,complete,clickButton,2019-03-05T12:22:23.333+11:00,clientID,ID1908,Web,complete,insertValue,2019-03-05T12:22:27.102+11:00,Web,complete,pressKey,2019-03-05T12:22:46.087+11:00,enter,update,ID1908,Web,complete,clickButton,2019-03-05T12:22:49.540+11:00,address,addA1003addB1541,Web,complete,insertValue,2019-03-05T12:22:52.241+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:22:55.730+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:22:58.976+11:00,ID1908,address,addB1541,Web,complete,copy,2019-03-05T12:23:02.954+11:00,paste,A,addB1541,Excel,5,complete,2019-03-05T12:23:15.654+11:00,save,Excel,complete,saveFile,2019-03-05T12:23:17.325+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:23:20.259+11:00
