Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49
11,value1,value1487,Web,complete,insertValue,2019-03-05T11:49:51.486+11:00,code,22,Web,complete,insertValue,2019-03-05T11:49:51.802+11:00,B7,Web,complete,clickButton,2019-03-05T11:50:11.175+11:00,Web,complete,goToUrl,2019-03-05T11:50:13.969+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T11:50:23.527+11:00,Excel,complete,openFile,Sheet1,2019-03-05T11:50:25.194+11:00,data123.xls,code,22,Web,complete,copy,2019-03-05T11:50:27.781+11:00,paste,B,name,22,Excel,1826,complete,2019-03-05T11:50:31.019+11:00,add
12,value1,value140,Web,complete,insertValue,2019-03-05T11:50:44.789+11:00,code,21,Web,complete,insertValue,2019-03-05T11:50:58.613+11:00,B7,Web,complete,clickButton,2019-03-05T11:50:59.506+11:00,Web,complete,goToUrl,2019-03-05T11:51:01.467+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T11:51:09.732+11:00,Excel,complete,openFile,Sheet1,2019-03-05T11:51:13.555+11:00,data123.xls,name448,Excel,complete,findValue,FALSE,2019-03-05T11:51:17.138+11:00,cancel,Web,complete,clickButton,2019-03-05T11:51:19.309+11:00,OK,Web,complete,clickButton
13,value1,value312,Web,complete,insertValue,2019-03-05T11:51:33.876+11:00,code,35,Web,complete,insertValue,2019-03-05T11:51:48.234+11:00,B7,Web,complete,clickButton,2019-03-05T11:51:51.143+11:00,open,Web,complete,clickButton,2019-03-05T11:51:52.482+11:00,code,35,Web,complete,copy,2019-03-05T11:51:54.449+11:00,paste,B,name,35,Excel,1807,complete,2019-03-05T11:51:55.027+11:00,add,Web,complete,clickButton,2019-03-05T11:51:58.998+11:00,OK,Web,complete,clickButton,2019-03-05T11:52:01.308+11:00,,
14,value1,value665,Web,complete,insertValue,2019-03-05T11:52:11.308+11:00,code,18,Web,complete,insertValue,2019-03-05T11:52:25.606+11:00,B6,Web,complete,clickButton,2019-03-05T11:52:34.640+11:00,Web,complete,goToUrl,2019-03-05T11:52:39.150+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T11:52:51.572+11:00,Excel,complete,openFile,Sheet1,2019-03-05T11:52:55.439+11:00,data123.xls,code,18,Web,complete,copy,2019-03-05T11:52:58.479+11:00,paste,B,name,18,Excel,1493,complete,2019-03-05T11:53:01.329+11:00,Web
15,value1,value343,Web,complete,insertValue,2019-03-05T11:53:19.657+11:00,code,23,Web,complete,insertValue,2019-03-05T11:53:27.761+11:00,B7,Web,complete,clickButton,2019-03-05T11:53:37.722+11:00,open,Web,complete,clickButton,2019-03-05T11:53:40.856+11:00,Excel,complete,openFile,Sheet1,2019-03-05T11:53:44.552+11:00,data123.xls,code,23,Web,complete,copy,2019-03-05T11:53:47.082+11:00,paste,B,name,23,Excel,1230,complete,2019-03-05T11:53:49.337+11:00,cancel,Web,complete,clickButton,2019-03-05T11:53:53.530+11:00,OK
16,value1,value1864,Web,complete,insertValue,2019-03-05T11:54:06.519+11:00,code,19,Web,complete,insertValue,2019-03-05T11:54:10.772+11:00,B6,Web,complete,clickButton,2019-03-05T11:54:20.203+11:00,Web,complete,goToUrl,2019-03-05T11:54:23.887+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T11:54:37.829+11:00,code,19,Web,complete,copy,2019-03-05T11:54:40.061+11:00,paste,B,name,19,Excel,1409,complete,2019-03-05T11:54:41.616+11:00,add,Web,complete,clickButton,2019-03-05T11:54:45.175+11:00,OK,Web
17,value1,value1123,Web,complete,insertValue,2019-03-05T11:54:56.567+11:00,code,25,Web,complete,insertValue,2019-03-05T11:55:12.057+11:00,B6,Web,complete,clickButton,2019-03-05T11:55:21.064+11:00,open,Web,complete,clickButton,2019-03-05T11:55:24.670+11:00,code,25,Web,complete,copy,2019-03-05T11:55:28.882+11:00,paste,B,name,25,Excel,1918,complete,2019-03-05T11:55:31.592+11:00,Web,complete,goToUrl,2019-03-05T11:55:34.119+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T11:55:40.055+11:00,,
18,value1,value1503,Web,complete,insertValue,2019-03-05T11:55:50.055+11:00,code,27,Web,complete,insertValue,2019-03-05T11:56:12.428+11:00,B7,Web,complete,clickButton,2019-03-05T11:56:17.123+11:00,Web,complete,goToUrl,2019-03-05T11:56:21.273+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T11:56:28.284+11:00,Excel,complete,openFile,Sheet1,2019-03-05T11:56:31.519+11:00,data123.xls,name777,Excel,complete,findValue,FALSE,2019-03-05T11:56:35.172+11:00,cancel,Web,complete,clickButton,2019-03-05T11:56:36.840+11:00,OK,Web,complete,clickButton
19,value1,value1574,Web,complete,insertValue,2019-03-05T11:56:49.356+11:00,code,29,Web,complete,insertValue,2019-03-05T11:56:56.022+11:00,B7,Web,complete,clickButton,2019-03-05T11:57:02.395+11:00,open,Web,complete,clickButton,2019-03-05T11:57:05.284+11:00,code,29,Web,complete,copy,2019-03-05T11:57:07.415+11:00,paste,B,name,29,Excel,1827,complete,2019-03-05T11:57:11.516+11:00,cancel,Web,complete,clickButton,2019-03-05T11:57:15.593+11:00,OK,Web,complete,clickButton,2019-03-05T11:57:18.319+11:00,,
20,value1,value1909,Web,complete,insertValue,2019-03-05T11:57:28.319+11:00,code,26,Web,complete,insertValue,2019-03-05T11:57:31.760+11:00,B6,Web,complete,clickButton,2019-03-05T11:57:31.760+11:00,Web,complete,goToUrl,2019-03-05T11:57:33.319+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T11:57:37.803+11:00,code,26,Web,complete,copy,2019-03-05T11:57:41.093+11:00,paste,B,name,26,Excel,429,complete,2019-03-05T11:57:45.954+11:00,add,Web,complete,clickButton,2019-03-05T11:57:47.867+11:00,OK,Web
21,value1,value1825,Web,complete,insertValue,2019-03-05T11:58:01.673+11:00,code,28,Web,complete,insertValue,2019-03-05T11:58:08.263+11:00,B6,Web,complete,clickButton,2019-03-05T11:58:13.300+11:00,Web,complete,goToUrl,2019-03-05T11:58:16.427+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T11:58:26.989+11:00,code,28,Web,complete,copy,2019-03-05T11:58:29.070+11:00,paste,B,name,28,Excel,957,complete,2019-03-05T11:58:29.769+11:00,add,Web,complete,clickButton,2019-03-05T11:58:34.570+11:00,OK,Web
22,value1,value1163,Web,complete,insertValue,2019-03-05T11:58:47.625+11:00,code,28,Web,complete,insertValue,2019-03-05T11:58:58.565+11:00,B6,Web,complete,clickButton,2019-03-05T11:59:04.564+11:00,Web,complete,goToUrl,2019-03-05T11:59:07.848+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T11:59:15.985+11:00,Excel,complete,openFile,Sheet1,2019-03-05T11:59:18.280+11:00,data123.xls,code,28,Web,complete,copy,2019-03-05T11:59:21.881+11:00,paste,B,name,28,Excel,1258,complete,2019-03-05T11:59:24.289+11:00,cancel
23,value1,value776,Web,complete,insertValue,2019-03-05T11:59:39.614+11:00,code,48,Web,complete,insertValue,2019-03-05T11:59:48.427+11:00,B6,Web,complete,clickButton,2019-03-05T11:59:59.114+11:00,Web,complete,goToUrl,2019-03-05T12:00:03.928+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:00:15.463+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:00:18.670+11:00,data123.xls,name90,Excel,complete,findValue,TRUE,2019-03-05T12:00:21.628+11:00,add,Web,complete,clickButton,2019-03-05T12:00:25.578+11:00,OK,Web,complete,clickButton
24,value1,value1067,Web,complete,insertValue,2019-03-05T12:00:37.769+11:00,code,28,Web,complete,insertValue,2019-03-05T12:00:47.677+11:00,B7,Web,complete,clickButton,2019-03-05T12:00:47.677+11:00,open,Web,complete,clickButton,2019-03-05T12:00:50.976+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:00:54.077+11:00,data123.xls,code,28,Web,complete,copy,2019-03-05T12:00:57.075+11:00,paste,B,name,28,Excel,1076,complete,2019-03-05T12:01:01.152+11:00,cancel,Web,complete,clickButton,2019-03-05T12:01:04.879+11:00,OK
25,value1,value56,Web,complete,insertValue,2019-03-05T12:01:17.910+11:00,code,24,Web,complete,insertValue,2019-03-05T12:01:33.485+11:00,B7,Web,complete,clickButton,2019-03-05T12:01:38.479+11:00,Web,complete,goToUrl,2019-03-05T12:01:42.171+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:02:01.143+11:00,code,24,Web,complete,copy,2019-03-05T12:02:04.825+11:00,paste,B,name,24,Excel,595,complete,2019-03-05T12:02:08.216+11:00,cancel,Web,complete,clickButton,2019-03-05T12:02:10.776+11:00,OK,Web
26,value1,value1616,Web,complete,insertValue,2019-03-05T12:02:22.070+11:00,code,26,Web,complete,insertValue,2019-03-05T12:02:34.133+11:00,B6,Web,complete,clickButton,2019-03-05T12:02:34.133+11:00,Web,complete,goToUrl,2019-03-05T12:02:37.461+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:02:55.384+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:02:58.310+11:00,data123.xls,code,26,Web,complete,copy,2019-03-05T12:03:02.323+11:00,paste,B,name,26,Excel,1806,complete,2019-03-05T12:03:06.381+11:00,add
27,value1,value1548,Web,complete,insertValue,2019-03-05T12:03:19.219+11:00,code,18,Web,complete,insertValue,2019-03-05T12:03:19.219+11:00,B7,Web,complete,clickButton,2019-03-05T12:03:31.158+11:00,open,Web,complete,clickButton,2019-03-05T12:03:35.102+11:00,code,18,Web,complete,copy,2019-03-05T12:03:38.153+11:00,paste,B,name,18,Excel,69,complete,2019-03-05T12:03:42.199+11:00,Web,complete,goToUrl,2019-03-05T12:03:45.335+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T12:03:57.327+11:00,,
28,value1,value1558,Web,complete,insertValue,2019-03-05T12:04:07.327+11:00,code,20,Web,complete,insertValue,2019-03-05T12:04:12.630+11:00,B6,Web,complete,clickButton,2019-03-05T12:04:17.823+11:00,Web,complete,goToUrl,2019-03-05T12:04:19.152+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:04:28.417+11:00,code,20,Web,complete,copy,2019-03-05T12:04:32.145+11:00,paste,B,name,20,Excel,1420,complete,2019-03-05T12:04:34.814+11:00,cancel,Web,complete,clickButton,2019-03-05T12:04:37.761+11:00,OK,Web
29,value1,value216,Web,complete,insertValue,2019-03-05T12:04:51.591+11:00,code,25,Web,complete,insertValue,2019-03-05T12:04:57.786+11:00,B7,Web,complete,clickButton,2019-03-05T12:04:57.786+11:00,open,Web,complete,clickButton,2019-03-05T12:05:00.678+11:00,code,25,Web,complete,copy,2019-03-05T12:05:03.832+11:00,paste,B,name,25,Excel,738,complete,2019-03-05T12:05:07.318+11:00,cancel,Web,complete,clickButton,2019-03-05T12:05:10.405+11:00,OK,Web,complete,clickButton,2019-03-05T12:05:14.017+11:00,,
30,value1,value1360,Web,complete,insertValue,2019-03-05T12:05:24.017+11:00,code,19,Web,complete,insertValue,2019-03-05T12:05:24.017+11:00,B6,Web,complete,clickButton,2019-03-05T12:05:39.378+11:00,Web,complete,goToUrl,2019-03-05T12:05:43.249+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:05:50.447+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:05:53.857+11:00,data123.xls,code,19,Web,complete,copy,2019-03-05T12:05:56.597+11:00,paste,B,name,19,Excel,898,complete,2019-03-05T12:05:59.026+11:00,Web
31,value1,value679,Web,complete,insertValue,2019-03-05T12:06:15.333+11:00,code,19,Web,complete,insertValue,2019-03-05T12:06:32.621+11:00,B7,Web,complete,clickButton,2019-03-05T12:06:40.768+11:00,Web,complete,goToUrl,2019-03-05T12:06:42.105+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:06:45.398+11:00,code,19,Web,complete,copy,2019-03-05T12:06:46.926+11:00,paste,B,name,19,Excel,574,complete,2019-03-05T12:06:50.107+11:00,add,Web,complete,clickButton,2019-03-05T12:06:52.621+11:00,OK,Web
32,value1,value894,Web,complete,insertValue,2019-03-05T12:07:05.983+11:00,code,27,Web,complete,insertValue,2019-03-05T12:07:10.984+11:00,B6,Web,complete,clickButton,2019-03-05T12:07:10.984+11:00,open,Web,complete,clickButton,2019-03-05T12:07:11.953+11:00,code,27,Web,complete,copy,2019-03-05T12:07:14.868+11:00,paste,B,name,27,Excel,1699,complete,2019-03-05T12:07:18.623+11:00,cancel,Web,complete,clickButton,2019-03-05T12:07:21.178+11:00,OK,Web,complete,clickButton,2019-03-05T12:07:24.910+11:00,,
33,value1,value185,Web,complete,insertValue,2019-03-05T12:07:34.910+11:00,code,28,Web,complete,insertValue,2019-03-05T12:07:44.401+11:00,B7,Web,complete,clickButton,2019-03-05T12:07:51.694+11:00,Web,complete,goToUrl,2019-03-05T12:07:54.875+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:08:05.703+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:08:07.908+11:00,data123.xls,name1085,Excel,complete,findValue,TRUE,2019-03-05T12:08:10.513+11:00,cancel,Web,complete,clickButton,2019-03-05T12:08:12.370+11:00,OK,Web,complete,clickButton
34,value1,value855,Web,complete,insertValue,2019-03-05T12:08:26.519+11:00,code,27,Web,complete,insertValue,2019-03-05T12:08:31.216+11:00,B7,Web,complete,clickButton,2019-03-05T12:08:38.939+11:00,open,Web,complete,clickButton,2019-03-05T12:08:42.443+11:00,code,27,Web,complete,copy,2019-03-05T12:08:44.060+11:00,paste,B,name,27,Excel,426,complete,2019-03-05T12:08:47.299+11:00,add,Web,complete,clickButton,2019-03-05T12:08:50.324+11:00,OK,Web,complete,clickButton,2019-03-05T12:08:52.812+11:00,,
35,value1,value305,Web,complete,insertValue,2019-03-05T12:09:02.812+11:00,code,35,Web,complete,insertValue,2019-03-05T12:09:03.477+11:00,B6,Web,complete,clickButton,2019-03-05T12:09:13.838+11:00,open,Web,complete,clickButton,2019-03-05T12:09:16.903+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:09:21.600+11:00,data123.xls,code,35,Web,complete,copy,2019-03-05T12:09:23.570+11:00,paste,B,name,35,Excel,1728,complete,2019-03-05T12:09:27.295+11:00,Web,complete,goToUrl,2019-03-05T12:09:32.427+11:00,www.webpage.com,OK
36,value1,value1280,Web,complete,insertValue,2019-03-05T12:09:49.166+11:00,code,29,Web,complete,insertValue,2019-03-05T12:09:58.583+11:00,B7,Web,complete,clickButton,2019-03-05T12:10:07.398+11:00,open,Web,complete,clickButton,2019-03-05T12:10:09.934+11:00,code,29,Web,complete,copy,2019-03-05T12:10:12.728+11:00,paste,B,name,29,Excel,672,complete,2019-03-05T12:10:16.124+11:00,Web,complete,goToUrl,2019-03-05T12:10:18.973+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T12:10:27.283+11:00,,
37,value1,value398,Web,complete,insertValue,2019-03-05T12:10:37.283+11:00,code,25,Web,complete,insertValue,2019-03-05T12:10:39.237+11:00,B7,Web,complete,clickButton,2019-03-05T12:10:49.113+11:00,open,Web,complete,clickButton,2019-03-05T12:10:53.765+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:10:57.965+11:00,data123.xls,code,25,Web,complete,copy,2019-03-05T12:11:01.379+11:00,paste,B,name,25,Excel,1496,complete,2019-03-05T12:11:05.359+11:00,Web,complete,goToUrl,2019-03-05T12:11:08.451+11:00,www.webpage.com,OK
38,value1,value479,Web,complete,insertValue,2019-03-05T12:11:30.704+11:00,code,18,Web,complete,insertValue,2019-03-05T12:11:39.684+11:00,B6,Web,complete,clickButton,2019-03-05T12:11:49.879+11:00,open,Web,complete,clickButton,2019-03-05T12:11:52.709+11:00,code,18,Web,complete,copy,2019-03-05T12:11:56.257+11:00,paste,B,name,18,Excel,868,complete,2019-03-05T12:12:00.100+11:00,cancel,Web,complete,clickButton,2019-03-05T12:12:02.067+11:00,OK,Web,complete,clickButton,2019-03-05T12:12:06.340+11:00,,
39,value1,value1672,Web,complete,insertValue,2019-03-05T12:12:16.340+11:00,code,24,Web,complete,insertValue,2019-03-05T12:12:23.104+11:00,B6,Web,complete,clickButton,2019-03-05T12:12:29.004+11:00,Web,complete,goToUrl,2019-03-05T12:12:34.834+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:12:42.126+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:12:43.472+11:00,data123.xls,code,24,Web,complete,copy,2019-03-05T12:12:45.688+11:00,paste,B,name,24,Excel,519,complete,2019-03-05T12:12:49.792+11:00,cancel
40,value1,value1632,Web,complete,insertValue,2019-03-05T12:13:05.215+11:00,code,37,Web,complete,insertValue,2019-03-05T12:13:19.656+11:00,B7,Web,complete,clickButton,2019-03-05T12:13:28.121+11:00,Web,complete,goToUrl,2019-03-05T12:13:30.210+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:13:38.814+11:00,code,37,Web,complete,copy,2019-03-05T12:13:42.710+11:00,paste,B,name,37,Excel,1864,complete,2019-03-05T12:13:46.132+11:00,add,Web,complete,clickButton,2019-03-05T12:13:48.175+11:00,OK,Web
41,value1,value1079,Web,complete,insertValue,2019-03-05T12:14:00.450+11:00,code,32,Web,complete,insertValue,2019-03-05T12:14:00.519+11:00,B7,Web,complete,clickButton,2019-03-05T12:14:04.113+11:00,open,Web,complete,clickButton,2019-03-05T12:14:05.372+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:14:08.718+11:00,data123.xls,code,32,Web,complete,copy,2019-03-05T12:14:11.893+11:00,paste,B,name,32,Excel,1125,complete,2019-03-05T12:14:15.868+11:00,Web,complete,goToUrl,2019-03-05T12:14:19.367+11:00,www.webpage.com,OK
42,value1,value1647,Web,complete,insertValue,2019-03-05T12:14:33.680+11:00,code,26,Web,complete,insertValue,2019-03-05T12:14:46.055+11:00,B7,Web,complete,clickButton,2019-03-05T12:14:51.799+11:00,Web,complete,goToUrl,2019-03-05T12:14:55.557+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:15:02.622+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:15:06.194+11:00,data123.xls,name1582,Excel,complete,findValue,TRUE,2019-03-05T12:15:10.459+11:00,add,Web,complete,clickButton,2019-03-05T12:15:14.100+11:00,OK,Web,complete,clickButton
43,value1,value1786,Web,complete,insertValue,2019-03-05T12:15:29.475+11:00,code,23,Web,complete,insertValue,2019-03-05T12:15:29.475+11:00,B7,Web,complete,clickButton,2019-03-05T12:15:35.331+11:00,Web,complete,goToUrl,2019-03-05T12:15:36.938+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:15:47.864+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:15:50.416+11:00,data123.xls,code,23,Web,complete,copy,2019-03-05T12:15:54.222+11:00,paste,B,name,23,Excel,508,complete,2019-03-05T12:15:55.438+11:00,Web
44,value1,value303,Web,complete,insertValue,2019-03-05T12:16:18.782+11:00,code,30,Web,complete,insertValue,2019-03-05T12:16:25.109+11:00,B7,Web,complete,clickButton,2019-03-05T12:16:34.029+11:00,open,Web,complete,clickButton,2019-03-05T12:16:36.533+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:16:41.442+11:00,data123.xls,code,30,Web,complete,copy,2019-03-05T12:16:44.941+11:00,paste,B,name,30,Excel,1832,complete,2019-03-05T12:16:48.784+11:00,cancel,Web,complete,clickButton,2019-03-05T12:16:50.361+11:00,OK
45,value1,value763,Web,complete,insertValue,2019-03-05T12:17:01.699+11:00,code,27,Web,complete,insertValue,2019-03-05T12:17:07.173+11:00,B7,Web,complete,clickButton,2019-03-05T12:17:12.172+11:00,Web,complete,goToUrl,2019-03-05T12:17:16.850+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T12:17:16.850+11:00,Excel,complete,openFile,Sheet1,2019-03-05T12:17:19.746+11:00,data123.xls,code,27,Web,complete,copy,2019-03-05T12:17:22.128+11:00,paste,B,name,27,Excel,1779,complete,2019-03-05T12:17:26.807+11:00,Web
46,value1,value1269,Web,complete,insertValue,2019-03-05T12:17:51.892+11:00,code,26,Web,complete,insertValue,2019-03-05T12:17:55.087+11:00,B6,Web,complete,clickButton,2019-03-05T12:18:03.372+11:00,open,Web,complete,clickButton,2019-03-05T12:18:07.435+11:00,code,26,Web,complete,copy,2019-03-05T12:18:09.921+11:00,paste,B,name,26,Excel,388,complete,2019-03-05T12:18:13.047+11:00,Web,complete,goToUrl,2019-03-05T12:18:15.101+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T12:18:23.194+11:00,,
