Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53,Parameter54,Parameter55,Parameter56,Parameter57,Parameter58,Parameter59,Parameter60,Parameter61,Parameter62,Parameter63,Parameter64,Parameter65,Parameter66
11,name,name104,Web,complete,insertValue,2019-03-07T13:23:17.001+11:00,surname,surname104,Web,complete,insertValue,2019-03-07T13:23:23.948+11:00,age,age28,Web,complete,insertValue,2019-03-07T13:23:33.942+11:00,T2,type,Web,complete,insertValue,2019-03-07T13:23:40.101+11:00,confirm,Web,complete,clickButton,2019-03-07T13:23:41.019+11:00,B3,Web,complete,clickButton,2019-03-07T13:23:43.800+11:00,Button6,Web,complete,clickButton,2019-03-07T13:23:47.271+11:00,Excel,complete,openFile,Sheet1,2019-03-07T13:23:49.434+11:00,data.xls,copy,A,value335,Excel,99,complete,2019-03-07T13:24:01.689+11:00,Special code,value335,Web,complete,paste,2019-03-07T13:24:03.089+11:00,OK,Web,complete,clickButton,2019-03-07T13:24:06.569+11:00,,
12,name,name1281,Web,complete,insertValue,2019-03-07T13:24:16.569+11:00,surname,surname1281,Web,complete,insertValue,2019-03-07T13:24:25.006+11:00,age,age24,Web,complete,insertValue,2019-03-07T13:24:36.409+11:00,T4,type,Web,complete,insertValue,2019-03-07T13:24:41.757+11:00,confirm,Web,complete,clickButton,2019-03-07T13:24:54.583+11:00,B5,Web,complete,clickButton,2019-03-07T13:24:59.272+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-07T13:25:01.918+11:00,Button6,Web,complete,clickButton,2019-03-07T13:25:12.356+11:00,Excel,complete,openFile,Sheet1,2019-03-07T13:25:15.620+11:00,data.xls,copy,B,value14,Excel,97,complete,2019-03-07T13:25:22.221+11:00,Special code,value14,Web,complete,paste,2019-03-07T13:25:25.703+11:00,Country
13,name,name598,Web,complete,insertValue,2019-03-07T13:25:48.279+11:00,surname,surname598,Web,complete,insertValue,2019-03-07T13:26:01.455+11:00,age,age21,Web,complete,insertValue,2019-03-07T13:26:16.433+11:00,T3,type,Web,complete,insertValue,2019-03-07T13:26:27.987+11:00,confirm,Web,complete,clickButton,2019-03-07T13:26:39.112+11:00,B4,Web,complete,clickButton,2019-03-07T13:26:42.366+11:00,Clients,Web,complete,clickButton,2019-03-07T13:26:45.324+11:00,clientID,ID598,Web,complete,insertValue,2019-03-07T13:26:48.827+11:00,Web,complete,pressKey,2019-03-07T13:27:00.355+11:00,enter,update,ID598,Web,complete,clickButton,2019-03-07T13:27:04.462+11:00,address,addA2073addB1878,Web,complete,insertValue,2019-03-07T13:27:08.543+11:00,Country79,country,Web
14,name,name2268,Web,complete,insertValue,2019-03-07T13:27:35.810+11:00,surname,surname2268,Web,complete,insertValue,2019-03-07T13:27:43.052+11:00,age,age18,Web,complete,insertValue,2019-03-07T13:27:44.421+11:00,T3,type,Web,complete,insertValue,2019-03-07T13:27:56.135+11:00,confirm,Web,complete,clickButton,2019-03-07T13:27:56.135+11:00,B4,Web,complete,clickButton,2019-03-07T13:28:01.082+11:00,Clients,Web,complete,clickButton,2019-03-07T13:28:05.512+11:00,clientID,ID2268,Web,complete,insertValue,2019-03-07T13:28:09.332+11:00,Web,complete,pressKey,2019-03-07T13:28:25.105+11:00,enter,update,ID2268,Web,complete,clickButton,2019-03-07T13:28:27.632+11:00,address,addA3028addB3769,Web,complete,insertValue,2019-03-07T13:28:30.545+11:00,Country30,country,Web
15,name,name3521,Web,complete,insertValue,2019-03-07T13:29:03.119+11:00,surname,surname3521,Web,complete,insertValue,2019-03-07T13:29:17.538+11:00,age,age24,Web,complete,insertValue,2019-03-07T13:29:18.428+11:00,T3,type,Web,complete,insertValue,2019-03-07T13:29:25.849+11:00,confirm,Web,complete,clickButton,2019-03-07T13:29:25.856+11:00,B4,Web,complete,clickButton,2019-03-07T13:29:29.327+11:00,Clients,Web,complete,clickButton,2019-03-07T13:29:31.914+11:00,clientID,ID3521,Web,complete,insertValue,2019-03-07T13:29:36.057+11:00,Web,complete,pressKey,2019-03-07T13:29:36.814+11:00,enter,update,ID3521,Web,complete,clickButton,2019-03-07T13:29:39.707+11:00,address,addA1912addB3138,Web,complete,insertValue,2019-03-07T13:29:42.579+11:00,Country149,country,Web
16,name,name1188,Web,complete,insertValue,2019-03-07T13:30:18.309+11:00,surname,surname1188,Web,complete,insertValue,2019-03-07T13:30:19.338+11:00,age,age46,Web,complete,insertValue,2019-03-07T13:30:26.682+11:00,T1,type,Web,complete,insertValue,2019-03-07T13:30:36.565+11:00,confirm,Web,complete,clickButton,2019-03-07T13:30:50.120+11:00,B1,Web,complete,clickButton,2019-03-07T13:30:53.471+11:00,name,name1188,Web,complete,copy,2019-03-07T13:30:57.288+11:00,paste,B,name,name1188,Excel,1,complete,2019-03-07T13:31:00.772+11:00,surname,surname1188,Web,complete,copy,2019-03-07T13:31:03.796+11:00,paste,B,surname,surname1188,Excel,1,complete,2019-03-07T13:31:06.521+11:00,add,Web,complete
17,name,name1066,Web,complete,insertValue,2019-03-07T13:31:26.208+11:00,surname,surname1066,Web,complete,insertValue,2019-03-07T13:31:29.481+11:00,age,age45,Web,complete,insertValue,2019-03-07T13:31:33.788+11:00,T2,type,Web,complete,insertValue,2019-03-07T13:31:35.510+11:00,confirm,Web,complete,clickButton,2019-03-07T13:31:41.710+11:00,B2,Web,complete,clickButton,2019-03-07T13:31:42.828+11:00,value1,value672,Web,complete,insertValue,2019-03-07T13:31:45.081+11:00,code,19,Web,complete,insertValue,2019-03-07T13:31:55.830+11:00,B7,Web,complete,clickButton,2019-03-07T13:32:02.656+11:00,open,Web,complete,clickButton,2019-03-07T13:32:07.313+11:00,code,19,Web,complete,copy,2019-03-07T13:32:11.033+11:00,paste,B,name
18,name,name2438,Web,complete,insertValue,2019-03-07T13:32:52.143+11:00,surname,surname2438,Web,complete,insertValue,2019-03-07T13:33:09.764+11:00,age,age20,Web,complete,insertValue,2019-03-07T13:33:09.764+11:00,T3,type,Web,complete,insertValue,2019-03-07T13:33:16.656+11:00,confirm,Web,complete,clickButton,2019-03-07T13:33:19.740+11:00,B4,Web,complete,clickButton,2019-03-07T13:33:23.124+11:00,Clients,Web,complete,clickButton,2019-03-07T13:33:26.553+11:00,clientID,ID2438,Web,complete,insertValue,2019-03-07T13:33:29.351+11:00,Web,complete,pressKey,2019-03-07T13:33:32.848+11:00,enter,update,ID2438,Web,complete,clickButton,2019-03-07T13:33:35.120+11:00,address,addA1767addB3337,Web,complete,insertValue,2019-03-07T13:33:40.185+11:00,Australia,country,Web
19,name,name9,Web,complete,insertValue,2019-03-07T13:34:30.889+11:00,surname,surname9,Web,complete,insertValue,2019-03-07T13:34:36.806+11:00,age,age18,Web,complete,insertValue,2019-03-07T13:34:51.123+11:00,T3,type,Web,complete,insertValue,2019-03-07T13:34:56.652+11:00,confirm,Web,complete,clickButton,2019-03-07T13:35:05.838+11:00,B4,Web,complete,clickButton,2019-03-07T13:35:08.544+11:00,Clients,Web,complete,clickButton,2019-03-07T13:35:09.250+11:00,clientID,ID9,Web,complete,insertValue,2019-03-07T13:35:11.941+11:00,Web,complete,pressKey,2019-03-07T13:35:18.559+11:00,enter,update,ID9,Web,complete,clickButton,2019-03-07T13:35:19.437+11:00,address,addA69addB3476,Web,complete,insertValue,2019-03-07T13:35:22.276+11:00,Country7,country,Web
20,name,name1403,Web,complete,insertValue,2019-03-07T13:35:59.494+11:00,surname,surname1403,Web,complete,insertValue,2019-03-07T13:36:10.265+11:00,age,age50,Web,complete,insertValue,2019-03-07T13:36:20.676+11:00,T3,type,Web,complete,insertValue,2019-03-07T13:36:31.884+11:00,confirm,Web,complete,clickButton,2019-03-07T13:36:31.884+11:00,B4,Web,complete,clickButton,2019-03-07T13:36:35.916+11:00,Clients,Web,complete,clickButton,2019-03-07T13:36:38.615+11:00,clientID,ID1403,Web,complete,insertValue,2019-03-07T13:36:41.969+11:00,Web,complete,pressKey,2019-03-07T13:36:54.083+11:00,enter,update,ID1403,Web,complete,clickButton,2019-03-07T13:36:57.447+11:00,address,addA3900addB3029,Web,complete,insertValue,2019-03-07T13:36:58.056+11:00,Country97,country,Web
21,name,name3026,Web,complete,insertValue,2019-03-07T13:37:36.950+11:00,surname,surname3026,Web,complete,insertValue,2019-03-07T13:37:39.483+11:00,age,age18,Web,complete,insertValue,2019-03-07T13:37:48.197+11:00,T2,type,Web,complete,insertValue,2019-03-07T13:37:59.155+11:00,confirm,Web,complete,clickButton,2019-03-07T13:37:59.862+11:00,B3,Web,complete,clickButton,2019-03-07T13:38:02.796+11:00,Button6,Web,complete,clickButton,2019-03-07T13:38:05.108+11:00,Excel,complete,openFile,Sheet1,2019-03-07T13:38:07.817+11:00,data.xls,copy,A,value730,Excel,71,complete,2019-03-07T13:38:10.251+11:00,Special code,value730,Web,complete,paste,2019-03-07T13:38:14.606+11:00,OK,Web,complete,clickButton,2019-03-07T13:38:18.381+11:00,,
22,name,name1325,Web,complete,insertValue,2019-03-07T13:38:28.381+11:00,surname,surname1325,Web,complete,insertValue,2019-03-07T13:38:28.381+11:00,age,age26,Web,complete,insertValue,2019-03-07T13:38:45.312+11:00,T1,type,Web,complete,insertValue,2019-03-07T13:38:49.402+11:00,confirm,Web,complete,clickButton,2019-03-07T13:38:59.006+11:00,B1,Web,complete,clickButton,2019-03-07T13:39:01.227+11:00,name,name1325,Web,complete,copy,2019-03-07T13:39:03.539+11:00,paste,B,name,name1325,Excel,1,complete,2019-03-07T13:39:07.317+11:00,surname,surname1325,Web,complete,copy,2019-03-07T13:39:11.069+11:00,paste,B,surname,surname1325,Excel,1,complete,2019-03-07T13:39:15.065+11:00,add,Web,complete
23,name,name3360,Web,complete,insertValue,2019-03-07T13:39:33.984+11:00,surname,surname3360,Web,complete,insertValue,2019-03-07T13:39:41.412+11:00,age,age38,Web,complete,insertValue,2019-03-07T13:39:43.314+11:00,T1,type,Web,complete,insertValue,2019-03-07T13:39:59.252+11:00,confirm,Web,complete,clickButton,2019-03-07T13:40:17.257+11:00,B1,Web,complete,clickButton,2019-03-07T13:40:19.474+11:00,name,name3360,Web,complete,copy,2019-03-07T13:40:22.734+11:00,paste,B,name,name3360,Excel,1,complete,2019-03-07T13:40:24.929+11:00,surname,surname3360,Web,complete,copy,2019-03-07T13:40:27.483+11:00,paste,B,surname,surname3360,Excel,1,complete,2019-03-07T13:40:29.612+11:00,add,Web,complete
24,name,name3629,Web,complete,insertValue,2019-03-07T13:40:48.348+11:00,surname,surname3629,Web,complete,insertValue,2019-03-07T13:40:55.363+11:00,age,age41,Web,complete,insertValue,2019-03-07T13:41:09.936+11:00,T4,type,Web,complete,insertValue,2019-03-07T13:41:18.210+11:00,confirm,Web,complete,clickButton,2019-03-07T13:41:23.011+11:00,B5,Web,complete,clickButton,2019-03-07T13:41:27.024+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-07T13:41:29.237+11:00,Button6,Web,complete,clickButton,2019-03-07T13:41:37.237+11:00,Excel,complete,openFile,Sheet1,2019-03-07T13:41:40.657+11:00,data.xls,copy,B,value992,Excel,45,complete,2019-03-07T13:41:47.936+11:00,Special code,value992,Web,complete,paste,2019-03-07T13:41:50.883+11:00,Country
25,name,name269,Web,complete,insertValue,2019-03-07T13:42:09.624+11:00,surname,surname269,Web,complete,insertValue,2019-03-07T13:42:12.851+11:00,age,age25,Web,complete,insertValue,2019-03-07T13:42:12.851+11:00,T2,type,Web,complete,insertValue,2019-03-07T13:42:17.469+11:00,confirm,Web,complete,clickButton,2019-03-07T13:42:19.658+11:00,B3,Web,complete,clickButton,2019-03-07T13:42:21.451+11:00,Button6,Web,complete,clickButton,2019-03-07T13:42:24.804+11:00,Excel,complete,openFile,Sheet1,2019-03-07T13:42:27.819+11:00,data.xls,copy,A,value47,Excel,85,complete,2019-03-07T13:42:37.372+11:00,Special code,value47,Web,complete,paste,2019-03-07T13:42:43.128+11:00,OK,Web,complete,clickButton,2019-03-07T13:42:46.973+11:00,,
26,name,name556,Web,complete,insertValue,2019-03-07T13:42:56.973+11:00,surname,surname556,Web,complete,insertValue,2019-03-07T13:43:09.904+11:00,age,age30,Web,complete,insertValue,2019-03-07T13:43:19.010+11:00,T2,type,Web,complete,insertValue,2019-03-07T13:43:27.777+11:00,confirm,Web,complete,clickButton,2019-03-07T13:43:36.930+11:00,B3,Web,complete,clickButton,2019-03-07T13:43:41.250+11:00,Button6,Web,complete,clickButton,2019-03-07T13:43:41.863+11:00,Excel,complete,openFile,Sheet1,2019-03-07T13:43:45.901+11:00,data.xls,copy,A,value510,Excel,34,complete,2019-03-07T13:44:00.820+11:00,Special code,value510,Web,complete,paste,2019-03-07T13:44:03.692+11:00,OK,Web,complete,clickButton,2019-03-07T13:44:08.100+11:00,,
27,name,name886,Web,complete,insertValue,2019-03-07T13:44:18.100+11:00,surname,surname886,Web,complete,insertValue,2019-03-07T13:44:24.747+11:00,age,age25,Web,complete,insertValue,2019-03-07T13:44:32.117+11:00,T2,type,Web,complete,insertValue,2019-03-07T13:44:37.058+11:00,confirm,Web,complete,clickButton,2019-03-07T13:44:40.261+11:00,B3,Web,complete,clickButton,2019-03-07T13:44:42.380+11:00,Button6,Web,complete,clickButton,2019-03-07T13:44:45.443+11:00,Excel,complete,openFile,Sheet1,2019-03-07T13:44:47.982+11:00,data.xls,copy,A,value478,Excel,94,complete,2019-03-07T13:44:49.991+11:00,Special code,value478,Web,complete,paste,2019-03-07T13:44:54.200+11:00,OK,Web,complete,clickButton,2019-03-07T13:44:59.050+11:00,,
28,name,name1325,Web,complete,insertValue,2019-03-07T13:45:09.050+11:00,surname,surname1325,Web,complete,insertValue,2019-03-07T13:45:17.523+11:00,age,age29,Web,complete,insertValue,2019-03-07T13:45:26.377+11:00,T4,type,Web,complete,insertValue,2019-03-07T13:45:36.986+11:00,confirm,Web,complete,clickButton,2019-03-07T13:45:41.234+11:00,B5,Web,complete,clickButton,2019-03-07T13:45:44.577+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-07T13:45:47.516+11:00,Button6,Web,complete,clickButton,2019-03-07T13:45:56.576+11:00,Excel,complete,openFile,Sheet1,2019-03-07T13:46:00.948+11:00,data.xls,copy,B,value835,Excel,39,complete,2019-03-07T13:46:03.391+11:00,Special code,value835,Web,complete,paste,2019-03-07T13:46:05.635+11:00,Country
29,name,name2140,Web,complete,insertValue,2019-03-07T13:46:24.222+11:00,surname,surname2140,Web,complete,insertValue,2019-03-07T13:46:30.396+11:00,age,age27,Web,complete,insertValue,2019-03-07T13:46:40.788+11:00,T3,type,Web,complete,insertValue,2019-03-07T13:46:51.162+11:00,confirm,Web,complete,clickButton,2019-03-07T13:46:55.439+11:00,B4,Web,complete,clickButton,2019-03-07T13:46:58.998+11:00,Clients,Web,complete,clickButton,2019-03-07T13:47:03.104+11:00,clientID,ID2140,Web,complete,insertValue,2019-03-07T13:47:05.295+11:00,Web,complete,pressKey,2019-03-07T13:47:19.763+11:00,enter,update,ID2140,Web,complete,clickButton,2019-03-07T13:47:24.148+11:00,address,addA2537addB2243,Web,complete,insertValue,2019-03-07T13:47:25.382+11:00,Country97,country,Web
30,name,name1540,Web,complete,insertValue,2019-03-07T13:48:15.061+11:00,surname,surname1540,Web,complete,insertValue,2019-03-07T13:48:29.036+11:00,age,age36,Web,complete,insertValue,2019-03-07T13:48:36.758+11:00,T1,type,Web,complete,insertValue,2019-03-07T13:48:38.008+11:00,confirm,Web,complete,clickButton,2019-03-07T13:48:45.756+11:00,B1,Web,complete,clickButton,2019-03-07T13:48:49.064+11:00,name,name1540,Web,complete,copy,2019-03-07T13:48:51.307+11:00,paste,B,name,name1540,Excel,1,complete,2019-03-07T13:48:52.946+11:00,surname,surname1540,Web,complete,copy,2019-03-07T13:48:57.195+11:00,paste,B,surname,surname1540,Excel,1,complete,2019-03-07T13:49:00.269+11:00,add,Web,complete
31,name,name308,Web,complete,insertValue,2019-03-07T13:49:18.510+11:00,surname,surname308,Web,complete,insertValue,2019-03-07T13:49:31.890+11:00,age,age25,Web,complete,insertValue,2019-03-07T13:49:35.312+11:00,T1,type,Web,complete,insertValue,2019-03-07T13:49:44.242+11:00,confirm,Web,complete,clickButton,2019-03-07T13:49:44.242+11:00,B1,Web,complete,clickButton,2019-03-07T13:49:47.282+11:00,name,name308,Web,complete,copy,2019-03-07T13:49:51.221+11:00,paste,B,name,name308,Excel,1,complete,2019-03-07T13:49:54.084+11:00,surname,surname308,Web,complete,copy,2019-03-07T13:49:57.568+11:00,paste,B,surname,surname308,Excel,1,complete,2019-03-07T13:50:00.391+11:00,add,Web,complete
32,name,name3886,Web,complete,insertValue,2019-03-07T13:50:17.917+11:00,surname,surname3886,Web,complete,insertValue,2019-03-07T13:50:17.917+11:00,age,age25,Web,complete,insertValue,2019-03-07T13:50:28.762+11:00,T4,type,Web,complete,insertValue,2019-03-07T13:50:39.562+11:00,confirm,Web,complete,clickButton,2019-03-07T13:50:47.395+11:00,B5,Web,complete,clickButton,2019-03-07T13:50:50.273+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-07T13:50:52.621+11:00,Button6,Web,complete,clickButton,2019-03-07T13:50:52.621+11:00,Excel,complete,openFile,Sheet1,2019-03-07T13:50:56.208+11:00,data.xls,copy,B,value12,Excel,56,complete,2019-03-07T13:51:03.430+11:00,Special code,value12,Web,complete,paste,2019-03-07T13:51:04.859+11:00,Country
33,name,name3574,Web,complete,insertValue,2019-03-07T13:51:26.290+11:00,surname,surname3574,Web,complete,insertValue,2019-03-07T13:51:35.524+11:00,age,age22,Web,complete,insertValue,2019-03-07T13:51:47.857+11:00,T2,type,Web,complete,insertValue,2019-03-07T13:51:47.857+11:00,confirm,Web,complete,clickButton,2019-03-07T13:52:00.454+11:00,B3,Web,complete,clickButton,2019-03-07T13:52:05.503+11:00,Button6,Web,complete,clickButton,2019-03-07T13:52:07.499+11:00,Excel,complete,openFile,Sheet1,2019-03-07T13:52:11.449+11:00,data.xls,copy,A,value935,Excel,18,complete,2019-03-07T13:52:25.061+11:00,Special code,value935,Web,complete,paste,2019-03-07T13:52:27.701+11:00,OK,Web,complete,clickButton,2019-03-07T13:52:31.289+11:00,,
